image_id,FN_detection,FP_detection,misclassification,wrong_player,center_error,active_error,gt_center,pred_center,gt_active,pred_active,n_gt,n_pred
L1000770,0,0,0,0,0,0,y_1,y_1,p3,p3,6,6
L1000771,0,0,1,0,0,0,r_5,r_5,p1,p1,5,5
L1000772,1,0,0,0,0,0,r_9,r_9,p2,p2,11,10
L1000773,0,1,1,0,0,0,y_8,y_8,p4,p4,8,9
L1000774,0,0,3,0,0,0,r_4,r_4,p3,p3,11,11
L1000775,0,1,0,0,0,0,r_1,r_1,p4,p4,11,12
L1000776,0,0,0,0,0,0,y_3,y_3,p2,p2,8,8
L1000777,0,1,0,0,0,0,r_7,r_7,p2,p2,6,7
L1000778,0,1,1,0,0,0,b_9,b_9,p4,p4,7,8
L1000779,0,1,1,0,0,0,b_7,b_7,p1,p1,6,7
L1000780,0,0,0,0,0,0,r_3,r_3,p4,p4,6,6
L1000781,0,0,0,0,0,0,g_8,g_8,p1,p1,5,5
L1000782,0,2,0,0,0,0,y_7,y_7,p4,p4,7,9
L1000783,0,2,0,0,0,0,y_8,y_8,p1,p1,5,7
L1000784,0,1,0,0,0,0,r_0,r_0,p2,p2,6,7
L1000785,0,1,0,0,0,0,b_6,b_6,p4,p4,6,7
L1000786,0,0,0,0,0,0,y_6,y_6,p4,p4,4,4
L1000787,0,0,0,0,0,0,g_2,g_2,p2,p2,4,4
L1000788,0,1,0,0,0,0,b_7,b_7,p3,p3,6,7
L1000789,0,1,0,0,0,0,y_1,y_1,p4,p4,5,6
L1000790,0,0,1,0,0,0,y_8,y_8,p1,p1,7,7
L1000791,1,0,1,0,0,0,g_4,g_4,p1,p1,7,6
L1000836,0,0,1,0,0,0,r_7,r_7,p3,p3,6,6
L1000837,0,0,3,0,0,0,b_1,b_1,p1,p1,6,6
L1000838,0,0,1,0,0,0,y_7,y_7,p3,p3,5,5
L1000839,0,0,2,0,0,0,b_1,b_1,p4,p4,5,5
L1000840,1,0,1,0,0,0,g_4,g_4,p1,p1,5,4
L1000841,0,0,3,0,0,0,g_5,g_5,p1,p1,8,8
L1000842,0,2,1,0,0,0,r_0,r_0,p2,p2,8,10
L1000843,0,1,3,0,0,0,g_1,g_1,p2,p2,7,8
L1000844,0,1,2,0,0,0,r_6,r_6,p2,p2,7,8
L1000846,1,0,1,0,0,0,b_3,b_3,p3,p3,7,6
L1000847,1,0,2,0,0,0,g_8,g_8,p1,p1,7,6
L1000848,0,0,3,0,0,0,b_3,b_3,p4,p4,9,9
L1000849,0,0,2,0,0,0,y_4,y_4,p4,p4,9,9
L1000850,1,0,4,0,0,0,g_2,g_2,p1,p1,12,11
L1000851,0,0,1,0,0,0,r_6,r_6,p1,p1,6,6
L1000852,1,0,1,0,0,0,g_2,g_2,p1,p1,6,5
L1000853,0,0,4,0,0,1,b_6,b_6,p1,p2,8,8
L1000855,1,0,2,0,0,0,g_5,g_5,p2,p2,9,8
L1000856,0,1,1,0,0,0,y_2,y_2,p2,p2,4,5
L1000857,1,0,5,0,0,0,g_6,g_6,p3,p3,7,6
